# File Name: HZ22_FEC_Crypto_Plate2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-09-25 02:21:31 PM UTC
# Run End Date/Time: 2022-09-25 03:22:12 PM UTC
# Run Duration: 60 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-09-25 03:27:35 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.2
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2022-09-25 03:57:02 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","24","331228.1","352322.56"
"4","A4","25","330733.38","352116.62"
"4","A4","26","331720.72","351370.9"
"4","A4","27","333156.78","351192.44"
"4","A4","28","333730.22","351551.56"
"4","A4","29","333502.12","351852.88"
"4","A4","30","333653.4","351416.4"
"4","A4","31","334348.75","351409.84"
"4","A4","32","334450.47","352056.62"
"4","A4","33","335610.88","351662.28"
"4","A4","34","336841.44","351239.2"
"4","A4","35","337594.7","350444.9"
"4","A4","36","339713.12","350262.6"
"4","A4","37","342891.4","350444.47"
"4","A4","38","346902.75","350994.12"
"4","A4","39","350581.2","351068.0"
"4","A4","40","357732.4","351096.2"
"5","A5","1","267373.5","293153.9"
"5","A5","2","267511.97","293745.94"
"5","A5","3","268890.84","294845.5"
"5","A5","4","269967.3","294900.28"
"5","A5","5","270600.62","295099.0"
"5","A5","6","272595.5","295112.1"
"5","A5","7","272830.84","294419.0"
"5","A5","8","272439.47","293573.0"
"5","A5","9","272278.38","292925.8"
"5","A5","10","272590.34","292425.88"
"5","A5","11","272781.34","291494.3"
"5","A5","12","273832.22","290888.6"
"5","A5","13","274327.25","290466.6"
"5","A5","14","275672.7","290385.1"
"5","A5","15","274694.53","290609.88"
"5","A5","16","274695.47","289608.97"
"5","A5","17","276745.12","289292.34"
"5","A5","18","276626.16","289469.25"
"5","A5","19","275999.0","289275.44"
"5","A5","20","274984.53","289121.6"
"5","A5","21","274544.03","289120.4"
"5","A5","22","274471.94","289078.53"
