Mouse_ID,Feces_weight_Extraction,Feces_weight,hydrated,Extraction_Sample,Extraction_Date,FEC_DNA_Content_ng/microliter,DNA_Dilution_ng/microliter,dest_Water,MC.Eimeria.FEC.vis
AA_1031,0.0304,0.2568,TRUE,FEC,28.09.2022,61.7,24.3,5.7,F
AA_1032,0.0206,0.3211,TRUE,FEC,28.09.2022,32.6,46.0,-16.0,F
AA_1033,0.0394,0.3448,TRUE,FEC,28.09.2022,45.6,32.9,-2.9,F
AA_1034,0.0241,1.9290,TRUE,FEC,28.09.2022,9.6,156.3,-126.3,F
AA_1035,0.0080,0.2538,TRUE,FEC,28.09.2022,4.3,348.8,-318.8,F
AA_1036,0.0171,0.3235,TRUE,FEC,28.09.2022,20,75.0,-45.0,F
AA_1037,0.0175,0.1982,TRUE,FEC,28.09.2022,36.1,41.6,-11.6,F
AA_1038,0.0423,0.3106,TRUE,ILCO,28.09.2022,3.4,441.2,-411.2,F
AA_1039,0.0121,0.3811,TRUE,FEC,28.09.2022,17.5,85.7,-55.7,F
AA_1040,0.0301,0.3750,TRUE,FEC,28.09.2022,43.9,34.2,-4.2,T
AA_1041,0.0221,0.4406,TRUE,FEC,28.09.2022,171.4,8.8,21.2,T
AA_1042,0.0151,0.7025,TRUE,FEC,28.09.2022,25.4,59.1,-29.1,T
AA_1043,0.0186,0.5952,TRUE,FEC,28.09.2022,66.1,22.7,7.3,F
AA_1044,0.0375,,TRUE,FEC,30.09.2022,43.8,34.2,-4.2,T
AA_1045,0.0892,,TRUE,FEC,30.09.2022,91.4,16.4,13.6,F
AA_1046,0.0518,,TRUE,FEC,30.09.2022,30.8,48.7,-18.7,T
AA_1047,0.0514,,TRUE,FEC,30.09.2022,33,45.5,-15.5,F
AA_1048,0.0653,,TRUE,FEC,30.09.2022,63.7,23.5,6.5,F
AA_1049,0.0857,,TRUE,FEC,30.09.2022,14.1,106.4,-76.4,T
AA_1050,0.0712,,TRUE,FEC,30.09.2022,72,20.8,9.2,F
AA_1051,0.0445,,TRUE,FEC,30.09.2022,33.3,45.0,-15.0,F
AA_1052,0.0461,,TRUE,FEC,30.09.2022,57.5,26.1,3.9,F
AA_1053,0.0874,,TRUE,FEC,30.09.2022,37.2,40.3,-10.3,F
AA_1054,0.0878,,TRUE,FEC,30.09.2022,87.9,17.1,12.9,F
AA_1055,0.0745,,TRUE,FEC,30.09.2022,62.3,24.1,5.9,F
AA_1056,0.0821,,TRUE,FEC,30.09.2022,49,30.6,-0.6,T
AA_1057,0.0606,,TRUE,FEC,30.09.2022,166.7,9.0,21.0,F
AA_1058,0.0655,,TRUE,FEC,30.09.2022,37.8,39.7,-9.7,F
AA_1059,0.0345,,TRUE,FEC,30.09.2022,309.6,4.8,25.2,T
AA_1060,0.0181,,TRUE,FEC,30.09.2022,264.3,5.7,24.3,T
AA_1061,0.0167,,TRUE,FEC,30.09.2022,255.5,5.9,24.1,T
AA_1062,0.0656,,TRUE,FEC,30.09.2022,209.8,7.1,22.9,T
AA_1063,0.0425,,TRUE,FEC,30.09.2022,262,5.7,24.3,T
AA_1064,0.0772,,TRUE,FEC,30.09.2022,243,6.2,23.8,T
AA_1065,0.0170,NA,NA,FEC,30.09.2022,187.8,8.0,22.0,F
AA_1066,0.0150,,TRUE,FEC,30.09.2022,76.1,19.7,10.3,F
AA_1067,0.0138,,TRUE,FEC,30.09.2022,157.7,9.5,20.5,F
AA_1068,0.0230,,TRUE,FEC,30.09.2022,267,5.6,24.4,F
CB_001,0.0612,3.1630,TRUE,FEC,26.09.2022,239.1,6.3,23.7,T
CB_002,0.0327,3.4586,TRUE,FEC,26.09.2022,196.9,7.6,22.4,F
CB_003,0.0579,3.3605,TRUE,FEC,26.09.2022,205.7,7.3,22.7,F
CB_004,0.0560,2.0390,TRUE,FEC,26.09.2022,92.4,16.2,13.8,F
CB_005,0.0362,3.3143,TRUE,FEC,26.09.2022,90.5,16.6,13.4,F
CB_006,0.0259,NA,NA,FEC,28.09.2022,5.5,272.7,-242.7,F
CB_007,0.0265,NA,NA,FEC,28.09.2022,5.5,272.7,-242.7,T
CB_008,0.0323,NA,NA,FEC,28.09.2022,4.7,319.1,-289.1,F
CB_009,0.0475,0.6290,TRUE,FEC,28.09.2022,8.9,168.5,-138.5,F
CB_010,0.0490,0.4913,TRUE,FEC,28.09.2022,21.2,70.8,-40.8,T
ZZ_0087,0.1840,1.1746,TRUE,ILCO,26.09.2022,195.7,7.7,22.3,F
ZZ_0088,0.1036,2.7505,TRUE,ILCO,26.09.2022,8.7,172.4,-142.4,T
ZZ_0089,0.0294,1.2488,TRUE,FEC,26.09.2022,29.7,50.5,-20.5,T
ZZ_0090,0.1881,1.5950,TRUE,ILCO,26.09.2022,208.2,7.2,22.8,T
ZZ_0091,0.1371,1.1479,TRUE,ILCO,26.09.2022,9.8,153.1,-123.1,F
ZZ_0092,0.0854,1.8185,TRUE,ILCO,26.09.2022,4.1,365.9,-335.9,F
ZZ_0093,0.0776,2.5300,TRUE,FEC,25.09.2022,66.9,22.4,7.6,T
ZZ_0094,0.0270,1.1270,TRUE,ILCO,28.09.2022,24.5,61.2,-31.2,F
ZZ_0095,0.0428,0.7856,TRUE,ILCO,28.09.2022,13.9,107.9,-77.9,F
ZZ_0096,0.0119,0.0965,F,FEC,28.09.2022,227.6,6.6,23.4,T
ZZ_0097,0.0419,0.0538,F,ILCO,28.09.2022,3.6,416.7,-386.7,T
ZZ_0098,0.1501,0.2308,F,ILCO,28.09.2022,25.2,59.5,-29.5,F
ZZ_0099,0.0134,,F,FEC,30.09.2022,257.6,5.8,24.2,T
ZZ_0100,0.0216,,F,FEC,30.09.2022,286.7,5.2,24.8,T
ZZ_0101,0.0145,,F,FEC,30.09.2022,118.1,12.7,17.3,T
ZZ_0102,0.0150,,F,FEC,30.09.2022,133.6,11.2,18.8,T
ZZ_0103,0.0267,,F,ILCO,30.09.2022,5,300.0,-270.0,F
