Mouse_ID,Feces_weight_Extraction,Feces_weight,hydrated,Extraction_Sample,Extraction_Date,DNA_Dilution_ng/microliter,dest_Water,FEC_DNA_Content_ng/microliter,Nanodrop_1,Nanodrop_2,Crypto_pos,FEC_Crypto_Ct,Crypto_Ct1,Crypto_Ct2,Crypto_Ct3,Eim_pos,MC.Eimeria,Ct.Eimeria,Eim_Ct1,Eim_Ct2,Eim_Ct3,Eim_Ct4,Eim_Ct5,Eim_Ct6
AA_0989,0.0170,0.1894,F,FEC,24.09.2022,21.1,28.9,118.6,118.6,-,FALSE,0.00,0.00,0.00,35.05,FALSE,FALSE,36.99,39.57,0.00,34.41,,,
AA_0990,0.0147,0.4041,F,FEC,24.09.2022,31.5,18.5,79.4,79.4,-,TRUE,27.28,27.42,27.21,27.21,FALSE,FALSE,0.00,0.00,37.90,0.00,,,
AA_0991,0.0112,0.2546,F,FEC,24.09.2022,40.9,9.1,61.1,61.1,-,FALSE,0.00,0.00,37.71,0.00,FALSE,FALSE,38.82,38.41,39.24,0.00,,,
AA_0992,0.0172,0.1047,F,FEC,24.09.2022,27.0,23.0,92.7,92.7,-,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,0.00,0.00,,,
AA_0993,0.0161,0.1500,F,FEC,24.09.2022,50.2,-0.2,49.8,49.8,-,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,37.94,0.00,0.00,,,
AA_0994,0.0088,0.0000,F,FEC,24.09.2022,33.8,16.2,74.0,74.0,-,TRUE,30.42,31.26,30.31,29.68,FALSE,FALSE,0.00,0.00,0.00,0.00,,,
AA_0995,0.0152,0.0647,F,FEC,24.09.2022,36.2,13.8,69.1,69.1,-,TRUE,32.15,33.39,32.49,30.56,TRUE,TRUE,33.28,33.44,33.25,33.14,,,
AA_0996,0.0251,0.2100,F,FEC,24.09.2022,20.3,29.7,122.9,122.9,-,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE,31.25,31.53,31.57,30.63,30.68,31.35,30.57
AA_0997,0.0104,0.2503,F,FEC,24.09.2022,200.0,-150.0,12.5,12.5,-,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE,31.82,32.02,32.34,31.10,32.28,32.31,30.93
AA_0998,0.0890,0.1321,F,FEC,24.09.2022,102.0,-52.0,24.5,24.5,-,TRUE,34.52,35.11,33.91,34.53,FALSE,FALSE,32.08,32.42,32.42,31.39,33.11,32.09,32.29
