"","Mouse_ID","Address","Address_ZIP","Latitude","Longitude","Trap_Date","Dissection_Date","Sex","Status","Body_Weight","Body_Length","Tail_Length","Spleen","Feces_Weight","Dead_in_Cage","Worms_presence","Left_Embryo","Right_Embryo","Ectoparasites_Logical","Fleas","Ticks","Note","Area","Trap_set_date","Trap_set_time","Trap_number","Trap_collect_date","Trap_collect_time","Rodents_caught","Mus_caught","Feces_weight_Extraction","Feces_weight","hydrated","Extraction_Sample","Extraction_Date","FEC_DNA_Content_ng.microliter","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs","Task","Tm1","Tm2","Tm3","Tm4","FEC_Eim_Ct1","FEC_Eim_Ct2","FEC_Eim_Ct3","HI","HI_NLoci","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","FEC_Crypto_Ct","FEC_Crypto_Ct1","FEC_Crypto_Ct2","FEC_Crypto_Ct3","Oocyst_Predict_Crypto_FEC"
"931","AA_0972","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","M","adult",15.18,79,73,0.02304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0578,0.0806,TRUE,"FEC","23.09.2022",198.9,2022,0,FALSE,NA,NA,NA,NA,"UNKNOWN",79.6121826171875,82.4794540405273,88.3649063110352,74.1794586181641,NA,NA,NA,NA,NA,NA,NA,NA,19.11,20.2695199061918,19.6187423274092,17.4482493434533,10287678
"932","AA_0973","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","F","pregnant",21.68,92,80,0.0356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.1415,FALSE,"FEC","23.09.2022",203,2022,32.04,TRUE,NA,NA,NA,NA,"UNKNOWN",75.990364074707,NA,NA,NA,32.0116312716183,32.8658201169054,31.2298412847864,NA,NA,NA,NA,NA,35.41,35.1091881694571,35.7102527891308,NA,165
"933","AA_0974","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","M","adult",14.87,89,69,0.02855,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0265,0.1524,FALSE,"FEC","23.09.2022",249.9,2022,22.05,TRUE,NA,NA,NA,NA,"UNKNOWN",75.2358169555664,NA,NA,NA,22.6890059922492,22.5011614161383,20.9698034361239,NA,NA,NA,NA,NA,27.17,27.7776567438247,27.8520221130435,25.8828777059563,43832
"934","AA_0975","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"20/09/2022","22/09/2022","M","young",13.78,89,80,0.03108,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0096,0.009,FALSE,"FEC","23.09.2022",178.1,2022,37.8,FALSE,NA,NA,NA,NA,"UNKNOWN",67.9921798706055,80.0649108886719,67.0890808105469,NA,37.0742293042352,37.0801688960866,39.2340618491908,NA,NA,NA,NA,NA,31.45,32.0704608037064,31.2753484217951,31.0131786001834,2415
"935","AA_0976","Zehdenicker Str. 8, Joachimstal",NA,52.978408,13.733637,"21/09/2022","22/09/2022","M","adult",13.52,85,70,0.03796,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0168,0.2087,FALSE,"FEC","23.09.2022",183.7,2022,0,FALSE,NA,NA,NA,NA,"UNKNOWN",83.5358200073242,63.1630897521973,94.2503662109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.82,19.8585522193675,19.325854490602,17.2638677252427,12520135
"936","AA_0977","Zehdenicker Str. 11, Joachimstal",NA,52.97852,13.733054,"20/09/2022","22/09/2022","F","adult",13.79,87,69,0.052,NA,NA,TRUE,NA,NA,NA,TRUE,NA,"no caecum content due to worms!",NA,NA,NA,NA,NA,NA,NA,NA,0.0461,0.2024,FALSE,"FEC","23.09.2022",119.5,2022,0,FALSE,NA,NA,NA,NA,"UNKNOWN",77.9521789550781,89.1194534301758,81.8758163452148,84.8939971923828,NA,NA,NA,NA,NA,NA,NA,NA,35.63,36.9636855505493,35.2804025434101,34.6324845228859,142
"939","AA_0980","Alt-Gielsdorf 67",NA,52.6053,13.8756,"20/09/2022","22/09/2022","F","adult",15.45,89,79,0.071,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0.129,FALSE,"FEC","24.09.2022",14,2022,17.45,TRUE,NA,NA,NA,NA,"UNKNOWN",75.243293762207,NA,NA,NA,17.4519728499234,17.8335858505467,17.0762561607162,NA,NA,NA,NA,NA,0,36.9178334810181,35.5323292591455,34.8016708883836,0
"940","AA_0981","Alt-Gielsdorf 67",NA,52.6053,13.8756,"20/09/2022","22/09/2022","F","pregnant",16.28,98,79,0.0425,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0165,0.0384,FALSE,"FEC","24.09.2022",129.4,2022,18.78,TRUE,NA,NA,NA,NA,"UNKNOWN",75.243293762207,69.5051498413086,NA,NA,18.5089883843227,18.7356735464355,19.0895377009138,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"941","AA_0982","Alt-Gielsdorf 67",NA,52.6053,13.8756,"20/09/2022","23/09/2022","F","pregnant",22.52,88,78,0.0853,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0368,0.2626,FALSE,"FEC","24.09.2022",130.4,2022,24.77,TRUE,NA,NA,NA,NA,"UNKNOWN",75.0922927856445,NA,NA,NA,24.3196968308957,25.3688166536896,24.6344158075845,NA,NA,NA,NA,NA,37.86,37.3966898631722,38.331033875956,NA,31
"942","AA_0983","Alt-Gielsdorf 67",NA,52.6053,13.8756,"20/09/2022","23/09/2022","F","adult",10.94,70,64,0.02733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483,0.3573,FALSE,"FEC","24.09.2022",159.5,2022,24.17,TRUE,NA,NA,NA,NA,"UNKNOWN",74.9412841796875,NA,NA,NA,23.943825365242,24.4773042693722,24.0912369675133,NA,NA,NA,NA,NA,0,NA,NA,NA,0
